Company,Rating,Reviews,Service_Type,Headquarters
Provana,4.1,2.1k,BPO,Noida
"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,Automobile,Ahmedabad
EPAM Systems,3.7,2.1k,IT Services & Consulting,Hyderabad
IndusInd General Insurance,3.6,2.1k,Insurance,Mumbai
Biological E,4.2,2.1k,Pharma,Hyderabad
SGS,3.8,2.1k,Engineering & Construction,Mumbai
Huawei Technologies,4.1,2.1k,Telecom,Bengaluru
Reliance Trends,4.1,2.1k,Retail,Bengaluru
K12 Techno Services,3.7,2.1k,EdTech,Bengaluru
ITC Hotels,4.0,2.1k,Hospitality,Bengaluru
Morgan Stanley,3.5,2.1k,Financial Services,Mumbai
Simplex Infrastructures,3.4,2.1k,Engineering & Construction,Kolkata
Raymond Lifestyle Limited,4.2,2.1k,Fashion & Textile,Mumbai
Delphi TVS,3.8,2.1k,Auto Components,Chennai
Aditya Birla Health Insurance Co,3.7,2.1k,Insurance,Mumbai
Narayana Health,4.0,2.1k,Healthcare,Bengaluru
YASH Technologies,3.6,2.1k,IT Services & Consulting,Hyderabad
Ola Cabs,3.2,2.1k,Internet,Bengaluru
Renault-Nissan,4.1,2.1k,Automobile,Chennai
Extramarks Education,3.2,2.1k,EdTech,Noida
Shadowfax Technologies,3.5,2.1k,Logistics,Bengaluru
Trent,3.8,2k,Retail,Mumbai
Haier Appliances India,3.9,2k,Consumer Electronics & Appliances,Pune
IDBI Bank,3.3,2k,Banking,Mumbai
Senco Gold,4.4,2k,Jewellery,Kolkata
Novartis,4.1,2k,Pharma,Hyderabad
Honeywell Automation,3.8,2k,Industrial Automation,Pune
Motherson Automotive Technologies and Engineering,3.7,2k,Auto Components,Chennai
AECOM,4.2,2k,Engineering & Construction,Gurugram
R.R. Donnelley,3.6,2k,Marketing & Advertising,Chennai
HSBC Electronic Data Processing,4.0,2k,IT Services & Consulting,Bengaluru
Schindler,3.9,2k,Industrial Machinery,Pune
L&T Energy Hydrocarbon,3.8,2k,Engineering & Construction,Vadodara
TELUS Digital,3.5,2k,IT Services & Consulting,Noida
Paisabazaar.com,3.4,2k,Internet,Gurugram
SAP,4.1,2k,Software Product,Bengaluru
Aye Finance,4.1,2k,NBFC,Gurugram
Globiva,3.0,2k,BPO,Gurugram
CMS Infosystems,3.5,2k,Software Product,Mumbai
Uflex,3.8,2k,Packaging,Noida
V-Guard,4.3,2k,Consumer Electronics & Appliances,Kochi
Ninjacart,3.8,2k,Internet,Bengaluru
Crisil,3.5,2k,Analytics & KPO,Mumbai
NCR Voyix,3.4,2k,IT Services & Consulting,Hyderabad
Godrej Properties,3.6,2k,Real Estate,Mumbai
Microland,3.5,2k,IT Services & Consulting,Bengaluru
Hinduja Leyland Finance,4.3,2k,NBFC,Chennai
Spinny,3.6,2k,Internet,Gurugram
Adecco Group,3.8,2k,Recruitment,Bengaluru
Dr Lal PathLabs,4.2,2k,Healthcare,New Delhi
Aadhar Housing Finance,4.0,2k,NBFC,Mumbai
CNH (Case New Holland),3.7,2k,Industrial Machinery,Gurugram
Gabriel India Limited,4.0,2k,Auto Components,Pune
State Street Syntel,3.7,2k,Financial Services,Pune
Parle Products,3.9,2k,FMCG,Mumbai
Philips,3.8,2k,Medical Equipment,Bengaluru
Tata Power,3.9,2k,Power,Mumbai
HTC Global Services,3.3,2k,IT Services & Consulting,Chennai
G R Infraprojects,4.1,2k,Engineering & Construction,Gurugram
Trident Group,3.3,2k,Hospitality,Barnala
DHL Supply Chain,4.1,2k,Logistics,Mumbai
CSB Bank,3.2,2k,Banking,Mumbai
Orchids International School,4.0,2k,Education & Training,Bengaluru
Angel One,3.5,2k,FinTech,Mumbai
Rungta Mines,3.9,2k,Metals & Mining,Chaibasa
NTPC,4.2,2k,Power,New Delhi
Verizon,3.5,1.9k,Telecom,Hyderabad
ICICI Home Finance,3.8,1.9k,Financial Services,Mumbai
Iris Software,3.7,1.9k,IT Services & Consulting,Noida
Lucas-TVS,3.9,1.9k,Auto Components,Chennai
Infinx,3.7,1.9k,Software Product,Hyderabad
Thomson Reuters,3.7,1.9k,Software Product,Bengaluru
Safexpress,3.9,1.9k,Logistics,New Delhi
Google,4.4,1.9k,Software Product,Bengaluru
NeoSOFT,3.2,1.9k,IT Services & Consulting,Mumbai
PI Industries,3.8,1.9k,Agro Chemicals,Vadodara
Torrent Power,3.7,1.9k,Power,Ahmedabad
Jindal Saw,4.1,1.9k,Iron & Steel,Mundra
Polycab Wires,4.0,1.9k,Electrical Equipment,Vadodara
Tekwissen,4.9,1.9k,IT Services & Consulting,Visakhapatnam
Medi Assist India,3.4,1.9k,Insurance,Bengaluru
Capri Global Capital,3.6,1.9k,NBFC,New Delhi
Hindustan Aeronautics,4.3,1.9k,Defence & Aerospace,Bengaluru
Fusion CX,3.2,1.9k,BPO,Kolkata
Tata Tele Business Services,3.4,1.9k,Telecom,Mumbai
Infra.Market,3.8,1.9k,Building Material,Mumbai
TVS Sundram Fasteners,3.6,1.9k,Auto Components,Chennai
Aragen Life Sciences,3.9,1.9k,Clinical Research,Hyderabad
AXA Global Business Services,3.6,1.9k,IT Services & Consulting,Pune
First American (India),3.5,1.9k,Insurance,Bengaluru
KENT RO Systems,3.7,1.9k,Consumer Electronics & Appliances,Noida
Digit Insurance,3.6,1.9k,Insurance,Bengaluru
Haldiram Foods International Limited,3.8,1.9k,FMCG,Nagpur
AkzoNobel,4.1,1.8k,Chemicals,Pune
Honda Cars,4.3,1.8k,Automobile,Bhiwadi
Adani Green Energy,3.9,1.8k,Power,Ahmedabad
Hindustan Petroleum,4.2,1.8k,Oil & Gas,Mumbai
DIVI'S Laboratories,3.6,1.8k,Pharma,Visakhapatnam
Innovsource Services,3.9,1.8k,Recruitment,Mumbai
MetLife,4.0,1.8k,Insurance,Noida
Sterling & Wilson,4.1,1.8k,Engineering & Construction,Mumbai
Air India,3.4,1.8k,Aviation,New Delhi
Isgec Heavy Engineering,3.8,1.8k,Engineering & Construction,Noida
Pine Labs,3.2,1.8k,FinTech,Noida
Cafe Coffee Day,3.7,1.8k,Hospitality,Bengaluru
Reckitt Benckiser,3.9,1.8k,FMCG,Gurugram
USV,4.0,1.8k,Pharma,Mumbai
SS&C TECHNOLOGIES,3.2,1.8k,IT Services & Consulting,Mumbai
HDFC Securities,3.4,1.8k,Financial Services,Mumbai
USHA International,4.0,1.8k,Consumer Electronics & Appliances,Gurugram
LivSpace,3.3,1.8k,Architecture & Interior Design,Bengaluru
Annapurna Finance,3.8,1.8k,NBFC,Bhubaneswar
XBP Global,3.1,1.8k,Internet,Chennai
Granules India Limited,3.8,1.8k,Pharma,Hyderabad
Kalyan Jewellers,4.4,1.8k,Jewellery,Thrissur
Security and Intelligence Services (India),4.1,1.8k,Law Enforcement & Security,New Delhi
Bata,3.5,1.8k,Fashion & Textile,Gurugram
Stellar Migration,1.3,1.8k,Other,Dubai
Hitachi Astemo,4.0,1.8k,Auto Components,Neemrana
Tata Communications Transformation Services,3.8,1.8k,Telecom,Pune
BT Business,3.9,1.8k,Telecom,Gurugram
BVG India,4.2,1.8k,Facility Management Services,Pune
NielsenIQ,3.4,1.8k,Analytics & KPO,Chennai
TTEC India,3.6,1.8k,BPO,Ahmedabad
Orange Business,4.0,1.8k,IT Services & Consulting,Gurugram
Cushman & Wakefield,4.1,1.8k,Real Estate,Gurugram
IIFL SAMASTA,3.7,1.8k,NBFC,Bengaluru
Mother Dairy Fruit & Vegetable,4.0,1.8k,Hospitality,New Delhi
Medanta the Medicity,4.0,1.7k,Healthcare,Gurugram
Vedantu,3.3,1.7k,EdTech,Bengaluru
HighRadius,2.4,1.7k,Software Product,Hyderabad
Labmentix,4.5,1.8k,Bengaluru +34 other locations,
Caterpillar Inc,4.1,1.7k,Industrial Machinery,Chennai
FactSet,3.6,1.7k,Analytics & KPO,Hyderabad
Dhani Loans and Services,3.9,1.7k,NBFC,Gurugram
Future Retail,4.4,1.7k,Retail,Mumbai
Cavinkare,3.9,1.7k,FMCG,Chennai
Metro Cash & Carry,4.0,1.7k,Retail,Bengaluru
Sysnet Global Technologies,3.6,1.7k,IT Services & Consulting,New Delhi
Tata 1mg,3.6,1.7k,Internet,Gurugram
Indian Navy,4.6,1.7k,Defence & Aerospace,Mumbai
Patanjali Foods,3.7,1.7k,FMCG,Haridwar
Clover Infotech,3.3,1.7k,IT Services & Consulting,Mumbai
Frankfinn Institute of Air Hostess Training,3.9,1.7k,Education & Training,Gurugram
L.G.Balakrishnan & Bros,3.5,1.7k,Auto Components,Coimbatore
Shriram Life Insurance,3.5,1.7k,Insurance,Hyderabad
Compass Group Support Services,4.0,1.7k,Hospitality,Bengaluru
Health Care Global Enterprises,4.4,1.7k,Healthcare,Bengaluru
KONE,4.1,1.7k,Industrial Machinery,Chennai
NEC,4.0,1.7k,IT Services & Consulting,Noida
Yamaha Motor,4.1,1.7k,Automobile,Chennai
Rane (Madras),3.8,1.7k,Auto Components,Chennai
ReNew,4.2,1.7k,Power,Gurugram
CG Power and Industrial Solutions,3.8,1.7k,Electrical Equipment,Bhopal
Suryoday Small Finance Bank,3.9,1.7k,Banking,Mumbai
Vardhman Fabrics,4.0,1.7k,Fashion & Textile,Baddi
DHL Express,4.1,1.7k,Logistics,Mumbai
MagicBricks,3.9,1.7k,Internet,Noida
BA Continuum,3.9,1.7k,IT Services & Consulting,Hyderabad
Toyota Kirloskar Motor,4.3,1.7k,Automobile,Bengaluru
Matrimony.com,3.9,1.7k,Internet,Chennai
JSW Bhushan Power & Steel,4.0,1.7k,Iron & Steel,Jharsuguda
Goldman Sachs,3.3,1.7k,Financial Services,Bengaluru
Procter & Gamble,4.0,1.7k,FMCG,Mumbai
Belrise Industries,3.7,1.7k,Auto Components,Pune
Coronis Ajuba Solutions,3.9,1.7k,BPO,Chennai
Krishna Maruti,3.8,1.7k,Auto Components,Gurugram
Arvind Group,4.0,1.7k,Fashion & Textile,Ahmedabad
Johnson & Johnson,3.9,1.6k,Healthcare,Mumbai
Veritas Finance,4.2,1.7k,NBFC,Chennai
CMA CGM,4.0,1.6k,Ports & Shipping,Chennai
Urban Company,3.3,1.6k,Internet,Gurugram
Dixon Technologies,3.9,1.6k,Electronics Manufacturing,Noida
Wipro Enterprises Ltd,3.8,1.6k,FMCG,Bengaluru
Godrej Industries Group,3.9,1.6k,Real Estate,Mumbai
Chegg,4.1,1.6k,EdTech,New Delhi
Satin Creditcare Network,4.0,1.6k,NBFC,Gurugram
Marico,3.8,1.6k,FMCG,Mumbai
Teva Pharmaceuticals,3.9,1.6k,Pharma,Bengaluru
mPokket,4.5,1.6k,NBFC,Kolkata
Sanofi,4.0,1.6k,Pharma,Hyderabad
Welspun Living Limited,3.9,1.6k,Fashion & Textile,Anjar
IndiaFirst Life Insurance,3.8,1.6k,Insurance,Mumbai
Hero Motors Company,3.9,1.6k,Automobile,Ghaziabad
iOPEX Technologies,3.1,1.6k,IT Services & Consulting,Chennai
HERE Technologies,3.7,1.6k,IT Services & Consulting,Mumbai
Tata Play,4.0,1.6k,Broadcasting,Mumbai
Supreme Industries,4.0,1.6k,Petrochemicals,Gwalior
Asahi India Glass,3.8,1.6k,Auto Components,Chennai
Broadridge Financial Solutions,3.8,1.6k,FinTech,Hyderabad
Troikaa Pharmaceuticals,4.4,1.6k,Pharma,Ahmedabad
Cemindia Projects,4.2,1.6k,Engineering & Construction,Kolkata
Relaxo Footwear,4.0,1.6k,Fashion & Textile,New Delhi
Emami,3.8,1.6k,FMCG,Kolkata
ZF Commercial Vehicle Control Systems,3.8,1.6k,Auto Components,Chennai
Kotak Mahindra Prime,3.9,1.6k,NBFC,Mumbai
KFC,4.0,1.6k,Hospitality,New Delhi
Mercer,3.6,1.6k,Management Consulting,New Delhi
Wockhardt,3.8,1.6k,Pharma,Chhatrapati Sambhajinagar
SHYAM METALICS AND ENERGY,3.4,1.6k,Metals & Mining,Kolkata
Lumax Industries,3.9,1.6k,Auto Components,Pune
PharmEasy,3.7,1.6k,Internet,Bengaluru
Amul India,4.0,1.6k,Hospitality,Ahmedabad
Tata Consumer Products,3.5,1.6k,FMCG,Bengaluru
IFB,3.5,1.6k,Consumer Electronics & Appliances,Bengaluru
Marriott International,4.1,1.6k,Hospitality,Bengaluru
Gujarat Fluorochemicals,3.9,1.6k,Chemicals,Bharuch
Bisleri,4.2,1.6k,Beverage,Mumbai
Muthoot Microfin,4.2,1.6k,NBFC,Kochi
Bajaj Capital,3.5,1.6k,Financial Services,New Delhi
Karur Vysya Bank,3.5,1.6k,Banking,Chennai
Patra India,3.5,1.6k,BPO,Visakhapatnam
Honda,4.0,1.6k,Automobile,Gurugram
Suguna Foods,3.9,1.6k,Food Processing,Coimbatore
XL Dynamics,3.7,1.5k,IT Services & Consulting,Mumbai
Steel Strips Wheels,3.7,1.5k,Auto Components,Chennai
GE VERNOVA,4.1,1.5k,Power,Bengaluru
Canara Bank,3.6,1.5k,Banking,Bengaluru
Piramal Pharma,3.9,1.5k,Pharma,Mumbai
Dainik Bhaskar Group,4.1,1.5k,Printing & Publishing,Bhopal
Evalueserve,3.0,1.5k,Analytics & KPO,Gurugram
GMR Group,3.9,1.5k,Engineering & Construction,New Delhi
Nayara Energy,4.2,1.5k,Oil & Gas,Jamnagar
Tesco,3.6,1.5k,Retail,Bengaluru
Sonata Software,3.4,1.5k,IT Services & Consulting,Bengaluru
SAI Life Sciences,3.9,1.5k,Clinical Research,Hyderabad
Tanishq,4.2,1.5k,Jewellery,Kolkata
American Broadcasting Company,4.0,1.5k,Engineering & Construction,Bengaluru
Page Industries,4.1,1.5k,Fashion & Textile,Bengaluru
PNB Housing Finance,3.7,1.5k,NBFC,New Delhi
Oracle Cerner,3.3,1.5k,Software Product,Bengaluru
Wheelseye Technology,3.4,1.5k,Internet,Gurugram
Chetu,3.7,1.5k,Software Product,Noida
QualityKiosk Technologies,3.2,1.5k,IT Services & Consulting,Mumbai
Airtel Payments Bank,3.8,1.5k,Banking,Gurugram
Devyani International,3.7,1.5k,Hospitality,New Delhi
V5 Global Services,3.9,1.5k,Recruitment,New Delhi
Ashoka Buildcon,4.1,1.5k,Engineering & Construction,Nashik
Acuity Analytics,3.1,1.5k,Analytics & KPO,Bengaluru
Amneal Pharmaceuticals,4.2,1.5k,Pharma,Ahmedabad
Gland Pharma,3.9,1.5k,Pharma,Hyderabad
SBFC Finance,3.8,1.5k,NBFC,Mumbai
Heritage Foods,4.1,1.5k,Food Processing,Hyderabad
Max Fashion,4.0,1.5k,Retail,Bengaluru
Valeo,3.9,1.5k,Auto Components,Chennai
Happiest Minds Technologies,3.4,1.5k,IT Services & Consulting,Bengaluru
Daimler India Commercial Vehicles,3.9,1.5k,Automobile,Chennai
HCL Infosystems,4.0,1.5k,IT Services & Consulting,Noida
ALTEN,3.5,1.5k,IT Services & Consulting,Bengaluru
ISS Facility Services,4.0,1.5k,Facility Management Services,Mumbai
Indoco Remedies,3.4,1.5k,Pharma,Mumbai
Apco Infratech,3.8,1.5k,Engineering & Construction,Mumbai
Altimetrik,3.4,1.5k,IT Services & Consulting,Bengaluru
Apexon,3.3,1.5k,IT Services & Consulting,Bengaluru
Honeywell Technology Solutions,3.7,1.5k,Industrial Automation,Bengaluru
Chandigarh University,4.2,1.5k,Education & Training,Chandigarh
Aon,3.8,1.5k,Management Consulting,Gurugram
Bharat Forge,3.7,1.5k,Auto Components,Pune
Oberoi Group of Hotels,4.0,1.5k,Hospitality,New Delhi
Aumovio,3.7,1.5k,Auto Components,Bengaluru
Jaquar,4.1,1.5k,Building Material,Gurugram
City Union Bank,2.9,1.5k,Banking,Chennai
NIIT,3.4,1.5k,Education & Training,Gurugram
VOIS,3.7,1.5k,IT Services & Consulting,Pune
Taurus BPO Services,4.0,1.5k,BPO,Pune
Fusion Finance,3.9,1.5k,NBFC,New Delhi
Narayana Educational Society,3.6,1.5k,Education & Training,Hyderabad
Morningstar,3.7,1.5k,Financial Services,Mumbai
Hyatt Regency,4.1,1.5k,Hospitality,New Delhi
Indegene,3.3,1.5k,Healthcare,Bengaluru
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.5k,Auto Components,Pune
AB InBev India,3.3,1.5k,Beverage,Bengaluru
Amara Raja Energy & Mobility,4.0,1.5k,Auto Components,Tirupati
Sony,4.2,1.5k,Consumer Electronics & Appliances,New Delhi
Aerial Telecom Solutions,4.2,1.4k,Telecom,Sahibzada Ajit Singh Nagar
Nykaa,3.4,1.4k,Internet,Mumbai
Tieto,4.1,1.4k,IT Services & Consulting,Pune
MedPlus,3.5,1.4k,Retail,Hyderabad
Agilus Diagnostics,4.1,1.4k,Healthcare,Mumbai
TEKsystems,3.1,1.4k,IT Services & Consulting,Bengaluru
Acmegrade,3.9,1.4k,EdTech,Bengaluru
Slk Software Services,3.2,1.4k,IT Services & Consulting,Bengaluru
DCM Shriram,4.1,1.4k,Chemicals,Bharuch
Eaton,3.9,1.4k,Electronics Manufacturing,Pune
Sansera Engineering,4.0,1.4k,Auto Components,Bengaluru
Vfs Global Services,3.4,1.4k,IT Services & Consulting,Mumbai
Adobe,3.7,1.4k,Software Product,Bengaluru
Hire In Global,4.9,1.4k,Recruitment,Mumbai
AtkinsRealis,3.7,1.4k,Engineering & Construction,Bengaluru
TÜV SÜD,4.0,1.4k,"Testing, Inspection and Certification (TIC)",Bengaluru
Unisys,3.4,1.4k,IT Services & Consulting,Bengaluru
VLCC,3.2,1.4k,Beauty & Personal Care,New Delhi
J. Kumar Infraprojects,4.1,1.4k,Engineering & Construction,Mumbai
Kantar,3.4,1.4k,Analytics & KPO,Bengaluru
Oracle Financial Services Software,3.2,1.4k,Software Product,Bengaluru
Xiaomi,3.7,1.4k,Consumer Electronics & Appliances,Bengaluru
Citco,3.1,1.4k,Management Consulting,Hyderabad
R Systems International,3.7,1.4k,IT Services & Consulting,Noida
Tenarai,3.5,1.4k,Emerging Technologies,Bengaluru
EOSGlobe,3.0,1.4k,BPO,Mumbai
Tata Group,4.2,1.4k,IT Services & Consulting,Mumbai
FedEx Express,4.0,1.4k,Logistics,Mumbai
The Muthoot Group,3.6,1.4k,Financial Services,New Delhi
Rashmi Metaliks,3.1,1.4k,Iron & Steel,Kharagpur
JSW Cement,4.0,1.4k,Building Material,Mumbai
Worley,4.1,1.4k,Engineering & Construction,Mumbai
Sunknowledge Services,3.4,1.4k,BPO,Kolkata
Novo Nordisk,3.6,1.4k,Pharma,Bengaluru
Fino Payments Bank,3.8,1.4k,Banking,Mumbai
IDC Technologies,3.0,1.4k,IT Services & Consulting,Noida
iMerit,3.2,1.4k,IT Services & Consulting,Kolkata
Amity University,3.6,1.4k,Education & Training,Noida
Sharekhan,3.6,1.4k,Financial Services,Mumbai
Incedo,2.9,1.4k,IT Services & Consulting,Gurugram
TCS iON,3.8,1.4k,IT Services & Consulting,Bengaluru
Bajaj Housing Finance,3.5,1.4k,NBFC,Pune
INDIUM,3.9,1.4k,IT Services & Consulting,Chennai
The Ramco Cements,4.1,1.4k,Building Material,Chennai
Faurecia,4.0,1.4k,Auto Components,Pune
Paytm Payments Bank,3.9,1.4k,Banking,Noida
Aforeserve,3.4,1.4k,IT Services & Consulting,Mumbai
TE Connectivity,4.1,1.4k,Electronics Manufacturing,Bengaluru
Grant Thornton,3.4,1.4k,Accounting & Auditing,Bengaluru
Iffco Tokio General Insurance Co.,3.8,1.4k,Insurance,Gurugram
Unichem Laboratories,3.7,1.4k,Pharma,Ghaziabad
Burger King,3.9,1.4k,Hospitality,New Delhi
Bharat FIH,3.7,1.4k,Electronics Manufacturing,Chennai
ZF Steering Gear,3.7,1.4k,Auto Components,Hyderabad
Viraj Profiles,4.0,1.4k,Iron & Steel,Mumbai
Aptara,3.1,1.4k,Content Development,Noida
Brillio,3.4,1.4k,IT Services & Consulting,Bengaluru
FDC,3.7,1.4k,Pharma,Mumbai
Hindware Limited,3.9,1.4k,Building Material,Hyderabad
Sheenlac Paints,4.1,1.4k,Chemicals,Chennai
CreditAccess Grameen,3.9,1.4k,NBFC,Bengaluru
Hatsun Agro Product,3.8,1.4k,Food Processing,Chennai
CenturyPly,3.8,1.4k,Furniture & Furnishing,Kolkata
DEXIT Global,3.4,1.4k,IT Services & Consulting,Mumbai
ManpowerGroup,3.6,1.4k,Recruitment,Bengaluru
Decathlon,3.7,1.4k,Retail,Bengaluru
GE,4.1,1.3k,Defence & Aerospace,Bengaluru
Baroda Global Shared Services,3.9,1.4k,BPO,Gandhinagar
NetAmbit,4.0,1.3k,BPO,Noida
GEP Worldwide,3.6,1.3k,IT Services & Consulting,Mumbai
Collabera Talent Solutions,3.5,1.3k,Recruitment,Bengaluru
Nippon Paint India,4.0,1.3k,Chemicals,Chennai
RBL FinServe,3.9,1.3k,Financial Services,Mumbai
OM Logistics,3.9,1.3k,Logistics,New Delhi
More Supermarket,3.6,1.3k,Retail,Bengaluru
SK Finance Limited,3.8,1.3k,NBFC,Jaipur
JioMart,3.9,1.3k,Retail,Mumbai
Punjab National Bank,3.9,1.3k,Banking,New Delhi
Shubham Housing Development Finance,3.9,1.3k,NBFC,New Delhi
VIBGYOR Group of Schools,3.5,1.3k,Education & Training,Bengaluru
Cinépolis,3.8,1.3k,Media & Entertainment,New Delhi
NxtWave,3.5,1.3k,EdTech,Hyderabad
Astral Pipe,4.0,1.3k,Building Material,Ahmedabad
Spicejet,3.3,1.3k,Aviation,New Delhi
Atul,3.9,1.3k,Chemicals,Valsad
ICICI Prudential Mutual Fund,3.9,1.3k,Financial Services,Mumbai
Centre for Development of Advanced Computing,3.6,1.3k,IT Services & Consulting,Pune
Globant,3.3,1.3k,IT Services & Consulting,Pune
Mondelez International,4.1,1.3k,Food Processing,Mumbai
Royal Migration Solutions,4.9,1.3k,Other,Dubai
Big Bazaar,4.4,1.3k,Retail,New Delhi
Ion Exchange India,3.7,1.3k,Waste Management,Mumbai
Luminous Power Technologies,4.1,1.3k,Consumer Electronics & Appliances,Gurugram
Samsung Research,3.0,1.3k,IT Services & Consulting,Bengaluru
Aarvee Associates,3.7,1.3k,Engineering & Construction,Hyderabad
Fabindia,3.7,1.3k,Retail,New Delhi
OpenText Technologies,3.3,1.3k,Software Product,Bengaluru
Bluestock ™,4.5,1.3k,FinTech,Pune
Hindustan Construction Company,4.2,1.3k,Engineering & Construction,Mumbai
Jakson Group,4.1,1.3k,Power,Noida
Pantaloons,4.1,1.3k,Retail,Mumbai
T-Systems ICT India,3.7,1.3k,IT Services & Consulting,Pune
Apex Group,2.6,1.3k,Financial Services,Pune
Spandana Sphoorty Financial,3.8,1.3k,NBFC,Hyderabad
Tenneco,3.6,1.3k,Auto Components,Pune
Vestas,4.1,1.3k,Power,Chennai
ANZ Banking Group,3.7,1.3k,Banking,Bengaluru
Godrej Consumer Products,4.0,1.3k,FMCG,Mumbai
H.G. Infra Engineering,4.0,1.3k,Engineering & Construction,Jaipur
Sigma Electric Manufacturing Corporation,4.0,1.3k,Industrial Machinery,Pune
DP World,3.8,1.3k,Logistics,Mumbai
Dassault Systemes,3.7,1.3k,Software Product,Pune
KIMS Hospital,3.7,1.3k,Healthcare,Hyderabad
Panasonic,4.0,1.3k,Consumer Electronics & Appliances,Gurugram
Automotive Manufacturers,3.8,1.3k,Automobile,Hyderabad
Fresenius Kabi,4.0,1.3k,Pharma,Pune
SKF,4.0,1.3k,Auto Components,Pune
Electronics Corporation of India Limited,4.2,1.3k,Electronics Manufacturing,Hyderabad
AGS Transact Technologies,2.8,1.3k,FinTech,Mumbai
PNC Infratech,3.8,1.3k,Engineering & Construction,Agra
Intertek,3.7,1.3k,"Testing, Inspection and Certification (TIC)",New Delhi
Shriram Pistons & Rings,4.0,1.3k,Auto Components,Bhiwadi
Zoho,4.2,1.3k,Software Product,Chennai
Prodapt,3.5,1.3k,IT Services & Consulting,Chennai
Mu Sigma,2.5,1.3k,Analytics & KPO,Bengaluru
Kalpataru Limited,4.1,1.3k,Real Estate,Mumbai
iSON Xperiences,3.1,1.3k,BPO,Chennai
Dell EMC,3.8,1.3k,IT Services & Consulting,Bengaluru
AIIMS,4.2,1.3k,Education & Training,New Delhi
Colliers India,3.9,1.3k,Real Estate,Bengaluru
Diageo,3.8,1.3k,Beverage,Bengaluru
Synchrony,4.2,1.2k,Financial Services,Hyderabad
DLF,4.0,1.2k,Real Estate,Gurugram
Nielsen,3.0,1.2k,Analytics & KPO,Bengaluru
Indostar Capital Finance Limited,4.3,1.2k,NBFC,Mumbai
Oil And Natural Gas Corporation,4.3,1.2k,Oil & Gas,Mumbai
Rockman Industries,3.8,1.2k,Auto Components,Haridwar
Jindal X,3.5,1.2k,BPO,New Delhi
Parexel International,3.8,1.2k,Clinical Research,Hyderabad
Wind World,4.0,1.2k,Power,Jaisalmer
ExcelR,3.6,1.2k,Education & Training,Bengaluru
Fidelity Investments,4.1,1.2k,Financial Services,Bengaluru
Ahluwalia Contracts India,4.0,1.2k,Engineering & Construction,New Delhi
Rupeek,4.1,1.2k,FinTech,Bengaluru
Qualcomm,3.7,1.2k,Semiconductors,Hyderabad
JTEKT,4.1,1.2k,Auto Components,Gurugram
DENSO,4.1,1.2k,Auto Components,Gurugram
Kirloskar Oil Engines,4.1,1.2k,Industrial Machinery,Pune
Strides Pharma,3.9,1.2k,Pharma,Bengaluru
JK Lakshmi Cement,3.7,1.2k,Building Material,New Delhi
Best Sellers,4.1,1.2k,Retail,Mumbai
EbixCash Limited,3.6,1.2k,Software Product,Noida
ACG Worldwide,3.8,1.2k,Pharma,Mumbai
Innova Solutions,3.3,1.2k,IT Services & Consulting,Hyderabad
Genius HRTech,3.8,1.2k,Recruitment,Kolkata
Zetwerk,4.0,1.2k,Industrial Machinery,Bengaluru
Fidelity National Financial,3.7,1.2k,Financial Services,Bengaluru
Balkrishna Industries,4.0,1.2k,Auto Components,Bhuj
Federal Bank,3.6,1.2k,Banking,Mumbai
Leadec India,4.1,1.2k,Facility Management Services,Pune
Schaeffler India,4.0,1.2k,Auto Components,Vadodara
Sri Chaitanya Techno Schools,3.5,1.2k,Education & Training,Bengaluru
PHN Technology,4.2,1.2k,EdTech,Pune
Intel,4.1,1.2k,Semiconductors,Bengaluru
Baazar Retail Private Limited,4.5,1.2k,Retail,Kolkata
Indira IVF Hospital,3.8,1.2k,Healthcare,Mumbai
Meril,3.6,1.2k,Medical Equipment,Vapi
Aparna Constructions and Estates,3.9,1.2k,Real Estate,Hyderabad
Thyrocare Technologies,3.7,1.2k,Healthcare,Mumbai
Aptiv,3.4,1.2k,Auto Components,Bengaluru
Prism Johnson,3.7,1.2k,Building Material,Mumbai
Salesforce,3.9,1.2k,Software Product,Hyderabad
HFCL Limited,3.8,1.2k,Telecom,Hyderabad
Imperial Auto Industries,3.7,1.2k,Auto Components,Faridabad
Electronica Finance,4.1,1.2k,NBFC,Pune
London Stock Exchange Group,3.6,1.2k,Financial Services,Bengaluru
Birla Corporation,4.0,1.2k,Building Material,Satna
PayPal,3.7,1.2k,FinTech,Bengaluru
FOCUS EDUMATICS,2.9,1.2k,EdTech,Coimbatore
MDIndia Health Insurance TPA,3.6,1.2k,Insurance,Pune
Apollo Health and Lifestyle Limited,4.3,1.2k,Healthcare,Hyderabad
IIFL Home Finance,3.8,1.2k,NBFC,Gurugram
The Jaypee Group,3.8,1.2k,Engineering & Construction,Noida
Podar International School,4.0,1.2k,Education & Training,Mumbai
Johnson Lifts,3.9,1.2k,Industrial Machinery,Chennai
Deccan Fine Chemicals,3.6,1.2k,Agro Chemicals,Tuni
Barclays Shared Services,3.7,1.2k,Financial Services,Chennai
Dhoot Transmission,3.7,1.2k,Auto Components,Chhatrapati Sambhajinagar
Coca-Cola Company,4.0,1.2k,Beverage,Bengaluru
